80000,2.00E-05,0.000966603,4.027666,0.046929697
80000,4.00E-05,0.001833474,4.084998,0.049684225
80000,6.00E-05,0.00350175,4.103,0.122689013
80000,8.00E-05,0.004617128,4.074,0.082988992
80000,1.00E-04,0.006130738,4.099666,0.047717926
80000,2.00E-04,0.01709988,4.139664,0.058253408
80000,3.00E-04,0.03253996,3.861666,0.068409315
80000,4.00E-04,0.04943554,3.620332,0.066471612
160000,2.00E-05,0.001078134,5.554,0.049588484
160000,4.00E-05,0.002372138,5.694,0.095204453
160000,6.00E-05,0.004256736,5.636668,0.08343325
160000,8.00E-05,0.006008848,5.601664,0.049575907
160000,1.00E-04,0.00861851,5.567334,0.043252647
160000,2.00E-04,0.02428172,5.517668,0.094057054
160000,3.00E-04,0.0421639,5.178332,0.087732789
160000,4.00E-04,0.0592146,5.080998,0.05776693
